"","year","income.elasticity","energy.final.demand","region"
"181",2045,0.816,"transportation","EU-12"
"182",2050,0.782,"transportation","EU-12"
"183",2055,0.75,"transportation","EU-12"
"184",2060,0.716,"transportation","EU-12"
"185",2065,0.695,"transportation","EU-12"
"186",2070,0.687,"transportation","EU-12"
"187",2075,0.679,"transportation","EU-12"
"188",2080,0.671,"transportation","EU-12"
"189",2085,0.664,"transportation","EU-12"
"190",2090,0.657,"transportation","EU-12"
"191",2095,0.65,"transportation","EU-12"
"192",2100,0.643,"transportation","EU-12"
"193",2025,0.654,"transportation","EU-15"
"194",2030,0.639,"transportation","EU-15"
"195",2035,0.623,"transportation","EU-15"
"196",2040,0.607,"transportation","EU-15"
"197",2045,0.589,"transportation","EU-15"
"198",2050,0.572,"transportation","EU-15"
"199",2055,0.553,"transportation","EU-15"
"200",2060,0.534,"transportation","EU-15"
"201",2065,0.514,"transportation","EU-15"
"202",2070,0.495,"transportation","EU-15"
"203",2075,0.477,"transportation","EU-15"
"204",2080,0.46,"transportation","EU-15"
"205",2085,0.448,"transportation","EU-15"
"206",2090,0.436,"transportation","EU-15"
"207",2095,0.424,"transportation","EU-15"
"208",2100,0.413,"transportation","EU-15"
"209",2025,1.25,"transportation","Ukraine"
"210",2030,1.25,"transportation","Ukraine"
"211",2035,1.25,"transportation","Ukraine"
"212",2040,1.25,"transportation","Ukraine"
"213",2045,1.25,"transportation","Ukraine"
"214",2050,1.25,"transportation","Ukraine"
"215",2055,1.25,"transportation","Ukraine"
"216",2060,1.25,"transportation","Ukraine"
"217",2065,1.25,"transportation","Ukraine"
"218",2070,1.25,"transportation","Ukraine"
"219",2075,1.25,"transportation","Ukraine"
"220",2080,1.25,"transportation","Ukraine"
"221",2085,1.25,"transportation","Ukraine"
"222",2090,1.25,"transportation","Ukraine"
"223",2095,1.25,"transportation","Ukraine"
"224",2100,1.25,"transportation","Ukraine"
"225",2025,1.25,"transportation","Europe_Non_EU"
"226",2030,1.25,"transportation","Europe_Non_EU"
"227",2035,1.199,"transportation","Europe_Non_EU"
"228",2040,1.101,"transportation","Europe_Non_EU"
"229",2045,1.008,"transportation","Europe_Non_EU"
"230",2050,0.918,"transportation","Europe_Non_EU"
"231",2055,0.846,"transportation","Europe_Non_EU"
"232",2060,0.809,"transportation","Europe_Non_EU"
"233",2065,0.772,"transportation","Europe_Non_EU"
"234",2070,0.738,"transportation","Europe_Non_EU"
"235",2075,0.705,"transportation","Europe_Non_EU"
"236",2080,0.694,"transportation","Europe_Non_EU"
"237",2085,0.686,"transportation","Europe_Non_EU"
"238",2090,0.679,"transportation","Europe_Non_EU"
"239",2095,0.671,"transportation","Europe_Non_EU"
"240",2100,0.663,"transportation","Europe_Non_EU"
"241",2025,0.44,"transportation","European Free Trade Association"
"242",2030,0.424,"transportation","European Free Trade Association"
"243",2035,0.408,"transportation","European Free Trade Association"
"244",2040,0.4,"transportation","European Free Trade Association"
"245",2045,0.4,"transportation","European Free Trade Association"
"246",2050,0.4,"transportation","European Free Trade Association"
"247",2055,0.4,"transportation","European Free Trade Association"
"248",2060,0.4,"transportation","European Free Trade Association"
"249",2065,0.4,"transportation","European Free Trade Association"
"250",2070,0.4,"transportation","European Free Trade Association"
"251",2075,0.4,"transportation","European Free Trade Association"
"252",2080,0.4,"transportation","European Free Trade Association"
"253",2085,0.4,"transportation","European Free Trade Association"
"254",2090,0.4,"transportation","European Free Trade Association"
"255",2095,0.4,"transportation","European Free Trade Association"
"256",2100,0.4,"transportation","European Free Trade Association"
"257",2025,1.25,"transportation","India"
"258",2030,1.25,"transportation","India"
"259",2035,1.25,"transportation","India"
"260",2040,1.25,"transportation","India"
"261",2045,1.25,"transportation","India"
"262",2050,1.25,"transportation","India"
"263",2055,1.25,"transportation","India"
"264",2060,1.25,"transportation","India"
"265",2065,1.25,"transportation","India"
"266",2070,1.25,"transportation","India"
"267",2075,1.25,"transportation","India"
"268",2080,1.25,"transportation","India"
"269",2085,1.25,"transportation","India"
"270",2090,1.243,"transportation","India"
"271",2095,1.171,"transportation","India"
"272",2100,1.098,"transportation","India"
"273",2025,1.25,"transportation","Indonesia"
"274",2030,1.25,"transportation","Indonesia"
"275",2035,1.25,"transportation","Indonesia"
"276",2040,1.25,"transportation","Indonesia"
"277",2045,1.25,"transportation","Indonesia"
"278",2050,1.25,"transportation","Indonesia"
"279",2055,1.25,"transportation","Indonesia"
"280",2060,1.25,"transportation","Indonesia"
"281",2065,1.25,"transportation","Indonesia"
"282",2070,1.25,"transportation","Indonesia"
"283",2075,1.25,"transportation","Indonesia"
"284",2080,1.25,"transportation","Indonesia"
"285",2085,1.189,"transportation","Indonesia"
"286",2090,1.128,"transportation","Indonesia"
"287",2095,1.065,"transportation","Indonesia"
"288",2100,1.003,"transportation","Indonesia"
"289",2025,0.673,"transportation","Japan"
"290",2030,0.66,"transportation","Japan"
"291",2035,0.646,"transportation","Japan"
"292",2040,0.632,"transportation","Japan"
"293",2045,0.616,"transportation","Japan"
"294",2050,0.6,"transportation","Japan"
"295",2055,0.583,"transportation","Japan"
"296",2060,0.567,"transportation","Japan"
"297",2065,0.549,"transportation","Japan"
"298",2070,0.532,"transportation","Japan"
"299",2075,0.514,"transportation","Japan"
"300",2080,0.496,"transportation","Japan"
"301",2085,0.478,"transportation","Japan"
"302",2090,0.461,"transportation","Japan"
"303",2095,0.448,"transportation","Japan"
"304",2100,0.435,"transportation","Japan"
"305",2025,1.25,"transportation","Mexico"
"306",2030,1.25,"transportation","Mexico"
"307",2035,1.25,"transportation","Mexico"
"308",2040,1.25,"transportation","Mexico"
"309",2045,1.25,"transportation","Mexico"
"310",2050,1.183,"transportation","Mexico"
"311",2055,1.092,"transportation","Mexico"
"312",2060,0.998,"transportation","Mexico"
"313",2065,0.9,"transportation","Mexico"
"314",2070,0.834,"transportation","Mexico"
"315",2075,0.792,"transportation","Mexico"
"316",2080,0.749,"transportation","Mexico"
"317",2085,0.707,"transportation","Mexico"
"318",2090,0.692,"transportation","Mexico"
"319",2095,0.682,"transportation","Mexico"
"320",2100,0.672,"transportation","Mexico"
"321",2025,1.25,"transportation","Middle East"
"322",2030,1.25,"transportation","Middle East"
"323",2035,1.25,"transportation","Middle East"
"324",2040,1.25,"transportation","Middle East"
"325",2045,1.25,"transportation","Middle East"
"326",2050,1.25,"transportation","Middle East"
"327",2055,1.213,"transportation","Middle East"
"328",2060,1.153,"transportation","Middle East"
"329",2065,1.087,"transportation","Middle East"
"330",2070,1.017,"transportation","Middle East"
"331",2075,0.946,"transportation","Middle East"
"332",2080,0.871,"transportation","Middle East"
"333",2085,0.833,"transportation","Middle East"
"334",2090,0.799,"transportation","Middle East"
"335",2095,0.762,"transportation","Middle East"
"336",2100,0.724,"transportation","Middle East"
"337",2025,1.25,"transportation","Pakistan"
"338",2030,1.25,"transportation","Pakistan"
"339",2035,1.25,"transportation","Pakistan"
"340",2040,1.25,"transportation","Pakistan"
"341",2045,1.25,"transportation","Pakistan"
"342",2050,1.25,"transportation","Pakistan"
"343",2055,1.25,"transportation","Pakistan"
"344",2060,1.25,"transportation","Pakistan"
"345",2065,1.25,"transportation","Pakistan"
"346",2070,1.25,"transportation","Pakistan"
"347",2075,1.25,"transportation","Pakistan"
"348",2080,1.25,"transportation","Pakistan"
"349",2085,1.25,"transportation","Pakistan"
"350",2090,1.25,"transportation","Pakistan"
"351",2095,1.237,"transportation","Pakistan"
"352",2100,1.131,"transportation","Pakistan"
"353",2025,1.25,"transportation","Russia"
"354",2030,1.25,"transportation","Russia"
"355",2035,1.25,"transportation","Russia"
"356",2040,1.25,"transportation","Russia"
"357",2045,1.25,"transportation","Russia"
"358",2050,1.24,"transportation","Russia"
"359",2055,1.172,"transportation","Russia"
"360",2060,1.091,"transportation","Russia"
"361",2065,1.003,"transportation","Russia"
"362",2070,0.908,"transportation","Russia"
"363",2075,0.839,"transportation","Russia"
"364",2080,0.798,"transportation","Russia"
"365",2085,0.754,"transportation","Russia"
"366",2090,0.706,"transportation","Russia"
"367",2095,0.688,"transportation","Russia"
"368",2100,0.675,"transportation","Russia"
"369",2025,1.25,"transportation","South Africa"
"370",2030,1.25,"transportation","South Africa"
"371",2035,1.25,"transportation","South Africa"
"372",2040,1.25,"transportation","South Africa"
"373",2045,1.25,"transportation","South Africa"
"374",2050,1.25,"transportation","South Africa"
"375",2055,1.25,"transportation","South Africa"
"376",2060,1.25,"transportation","South Africa"
"377",2065,1.228,"transportation","South Africa"
"378",2070,1.108,"transportation","South Africa"
"379",2075,0.977,"transportation","South Africa"
"380",2080,0.849,"transportation","South Africa"
"381",2085,0.784,"transportation","South Africa"
"382",2090,0.714,"transportation","South Africa"
"383",2095,0.685,"transportation","South Africa"
"384",2100,0.664,"transportation","South Africa"
"385",2025,1.25,"transportation","South America_Northern"
"386",2030,1.25,"transportation","South America_Northern"
"387",2035,1.018,"transportation","South America_Northern"
"388",2040,0.829,"transportation","South America_Northern"
"389",2045,0.768,"transportation","South America_Northern"
"390",2050,0.75,"transportation","South America_Northern"
"391",2055,0.757,"transportation","South America_Northern"
"392",2060,0.762,"transportation","South America_Northern"
"393",2065,0.766,"transportation","South America_Northern"
"394",2070,0.768,"transportation","South America_Northern"
"395",2075,0.769,"transportation","South America_Northern"
"396",2080,0.768,"transportation","South America_Northern"
"397",2085,0.766,"transportation","South America_Northern"
"398",2090,0.761,"transportation","South America_Northern"
