"region","supplysector","tranSubsector","year","sce","base.service"
"Africa_Southern","trn_pass_urban","Cycle",2005,"CORE",32994
"Africa_Southern","trn_pass_urban","Cycle",2010,"CORE",37749
"Africa_Southern","trn_pass_urban","Cycle",2015,"CORE",43802
"Africa_Southern","trn_pass_urban","Cycle",2021,"CORE",52261
"Africa_Southern","trn_pass_urban","Passenger Rail",1975,"CORE",37.1152834956787
"Africa_Southern","trn_pass_urban","Passenger Rail",1990,"CORE",105.737535468425
"Africa_Southern","trn_pass_urban","Passenger Rail",2005,"CORE",149.00452391458
"Africa_Southern","trn_pass_urban","Passenger Rail",2010,"CORE",240.996393936617
"Africa_Southern","trn_pass_urban","Passenger Rail",2015,"CORE",374.733249817662
"Africa_Southern","trn_pass_urban","Passenger Rail",2021,"CORE",404.181052175924
"Africa_Southern","trn_pass_urban","Walk",1975,"CORE",42500
"Africa_Southern","trn_pass_urban","Walk",1990,"CORE",67878
"Africa_Southern","trn_pass_urban","Walk",2005,"CORE",98982
"Africa_Southern","trn_pass_urban","Walk",2010,"CORE",113246
"Africa_Southern","trn_pass_urban","Walk",2015,"CORE",131406
"Africa_Southern","trn_pass_urban","Walk",2021,"CORE",156784
"Africa_Southern","trn_pass_road_urban","Bus",1975,"CORE",13798.5722522759
"Africa_Southern","trn_pass_road_urban","Bus",1990,"CORE",19956.7988530067
"Africa_Southern","trn_pass_road_urban","Bus",2005,"CORE",36937.3377812614
"Africa_Southern","trn_pass_road_urban","Bus",2010,"CORE",55206.9164521053
"Africa_Southern","trn_pass_road_urban","Bus",2015,"CORE",85138.1606974663
"Africa_Southern","trn_pass_road_urban","Bus",2021,"CORE",96621.421046132
"Africa_Southern","trn_pass_road_LDV_urban","2W and 3W",1975,"CORE",1197.25035990776
"Africa_Southern","trn_pass_road_LDV_urban","2W and 3W",1990,"CORE",1731.64707896656
"Africa_Southern","trn_pass_road_LDV_urban","2W and 3W",2005,"CORE",3205.05328003682
"Africa_Southern","trn_pass_road_LDV_urban","2W and 3W",2010,"CORE",4972.00641538723
"Africa_Southern","trn_pass_road_LDV_urban","2W and 3W",2015,"CORE",7968.89944287159
"Africa_Southern","trn_pass_road_LDV_urban","2W and 3W",2021,"CORE",9476.56884168318
"Africa_Southern","trn_pass_road_LDV_4W_urban","Car",1975,"CORE",4453.1838025376
"Africa_Southern","trn_pass_road_LDV_4W_urban","Car",1990,"CORE",6440.64128549362
"Africa_Southern","trn_pass_road_LDV_4W_urban","Car",2005,"CORE",11920.7749632335
"Africa_Southern","trn_pass_road_LDV_4W_urban","Car",2010,"CORE",18049.0232070097
"Africa_Southern","trn_pass_road_LDV_4W_urban","Car",2015,"CORE",28340.5158888443
"Africa_Southern","trn_pass_road_LDV_4W_urban","Car",2021,"CORE",32720.3820140949
"Africa_Southern","trn_pass_road_LDV_4W_urban","Large Car and Truck",1975,"CORE",1975.42663324191
"Africa_Southern","trn_pass_road_LDV_4W_urban","Large Car and Truck",1990,"CORE",2857.05711978441
"Africa_Southern","trn_pass_road_LDV_4W_urban","Large Car and Truck",2005,"CORE",5288.00901485554
"Africa_Southern","trn_pass_road_LDV_4W_urban","Large Car and Truck",2010,"CORE",8203.3711736128
"Africa_Southern","trn_pass_road_LDV_4W_urban","Large Car and Truck",2015,"CORE",13150.4608236625
"Africa_Southern","trn_pass_road_LDV_4W_urban","Large Car and Truck",2021,"CORE",15640.9445250922
"Africa_Southern","trn_pass_road_LDV_4W_urban","Mini Car",1975,"CORE",2313.71874608966
"Africa_Southern","trn_pass_road_LDV_4W_urban","Mini Car",1990,"CORE",3346.3367252755
"Africa_Southern","trn_pass_road_LDV_4W_urban","Mini Car",2005,"CORE",6193.58872400993
"Africa_Southern","trn_pass_road_LDV_4W_urban","Mini Car",2010,"CORE",9377.53170489157
"Africa_Southern","trn_pass_road_LDV_4W_urban","Mini Car",2015,"CORE",14724.5281555163
"Africa_Southern","trn_pass_road_LDV_4W_urban","Mini Car",2021,"CORE",17000.156007314
"Africa_Western","trn_pass_urban","Cycle",1975,"CORE",43261
"Africa_Western","trn_pass_urban","Cycle",1990,"CORE",65380
"Africa_Western","trn_pass_urban","Cycle",2005,"CORE",98681
"Africa_Western","trn_pass_urban","Cycle",2010,"CORE",113858
"Africa_Western","trn_pass_urban","Cycle",2015,"CORE",131260
"Africa_Western","trn_pass_urban","Cycle",2021,"CORE",154616
"Africa_Western","trn_pass_urban","Passenger Rail",1975,"CORE",80.9974418828347
"Africa_Western","trn_pass_urban","Passenger Rail",1990,"CORE",166.711190508214
"Africa_Western","trn_pass_urban","Passenger Rail",2005,"CORE",404.484813820976
"Africa_Western","trn_pass_urban","Passenger Rail",2010,"CORE",499.947418680159
"Africa_Western","trn_pass_urban","Passenger Rail",2015,"CORE",679.151320116251
"Africa_Western","trn_pass_urban","Passenger Rail",2021,"CORE",881.232817688291
"Africa_Western","trn_pass_urban","Walk",1975,"CORE",129783
"Africa_Western","trn_pass_urban","Walk",1990,"CORE",196141
"Africa_Western","trn_pass_urban","Walk",2005,"CORE",296042
"Africa_Western","trn_pass_urban","Walk",2010,"CORE",341575
"Africa_Western","trn_pass_urban","Walk",2015,"CORE",393780
"Africa_Western","trn_pass_urban","Walk",2021,"CORE",463850
"Africa_Western","trn_pass_road_urban","Bus",1975,"CORE",30152.6406199765
"Africa_Western","trn_pass_road_urban","Bus",1990,"CORE",62013.334236456
"Africa_Western","trn_pass_road_urban","Bus",2005,"CORE",139338.654680641
"Africa_Western","trn_pass_road_urban","Bus",2010,"CORE",167690.679390185
"Africa_Western","trn_pass_road_urban","Bus",2015,"CORE",234310.448797752
"Africa_Western","trn_pass_road_urban","Bus",2021,"CORE",291141.776655818
"Africa_Western","trn_pass_road_LDV_urban","2W and 3W",1975,"CORE",2616.38085745304
"Africa_Western","trn_pass_road_LDV_urban","2W and 3W",1990,"CORE",5380.99144800484
"Africa_Western","trn_pass_road_LDV_urban","2W and 3W",2005,"CORE",12090.4769497712
"Africa_Western","trn_pass_road_LDV_urban","2W and 3W",2010,"CORE",15102.4694867387
"Africa_Western","trn_pass_road_LDV_urban","2W and 3W",2015,"CORE",21935.1616139752
"Africa_Western","trn_pass_road_LDV_urban","2W and 3W",2021,"CORE",28563.9351939667
"Africa_Western","trn_pass_road_LDV_4W_urban","Car",1975,"CORE",9731.13954315278
"Africa_Western","trn_pass_road_LDV_4W_urban","Car",1990,"CORE",20013.4864468385
"Africa_Western","trn_pass_road_LDV_4W_urban","Car",2005,"CORE",44968.6030012923
"Africa_Western","trn_pass_road_LDV_4W_urban","Car",2010,"CORE",54823.8878729308
"Africa_Western","trn_pass_road_LDV_4W_urban","Car",2015,"CORE",77996.6994941649
"Africa_Western","trn_pass_road_LDV_4W_urban","Car",2021,"CORE",98594.2157250837
"Africa_Western","trn_pass_road_LDV_4W_urban","Large Car and Truck",1975,"CORE",4316.71268140338
"Africa_Western","trn_pass_road_LDV_4W_urban","Large Car and Truck",1990,"CORE",8877.88947099196
"Africa_Western","trn_pass_road_LDV_4W_urban","Large Car and Truck",2005,"CORE",19947.8562012229
"Africa_Western","trn_pass_road_LDV_4W_urban","Large Car and Truck",2010,"CORE",24917.749932558
"Africa_Western","trn_pass_road_LDV_4W_urban","Large Car and Truck",2015,"CORE",36191.6604050097
"Africa_Western","trn_pass_road_LDV_4W_urban","Large Car and Truck",2021,"CORE",47129.7980392915
"Africa_Western","trn_pass_road_LDV_4W_urban","Mini Car",1975,"CORE",5055.94955866244
"Africa_Western","trn_pass_road_LDV_4W_urban","Mini Car",1990,"CORE",10398.2309294315
"Africa_Western","trn_pass_road_LDV_4W_urban","Mini Car",2005,"CORE",23363.9366291414
"Africa_Western","trn_pass_road_LDV_4W_urban","Mini Car",2010,"CORE",28484.2900157834
"Africa_Western","trn_pass_road_LDV_4W_urban","Mini Car",2015,"CORE",40523.8257212373
"Africa_Western","trn_pass_road_LDV_4W_urban","Mini Car",2021,"CORE",51225.3372394224
"Argentina","trn_pass_urban","Cycle",1975,"CORE",7957
"Argentina","trn_pass_urban","Cycle",1990,"CORE",10037
"Argentina","trn_pass_urban","Cycle",2005,"CORE",12015
"Argentina","trn_pass_urban","Cycle",2010,"CORE",12639
"Argentina","trn_pass_urban","Cycle",2015,"CORE",13303
"Argentina","trn_pass_urban","Cycle",2021,"CORE",13924
"Argentina","trn_pass_urban","Passenger Rail",1975,"CORE",401.855416491519
"Argentina","trn_pass_urban","Passenger Rail",1990,"CORE",429.767791309839
"Argentina","trn_pass_urban","Passenger Rail",2005,"CORE",783.961488336078
"Argentina","trn_pass_urban","Passenger Rail",2010,"CORE",849.665547138762
"Argentina","trn_pass_urban","Passenger Rail",2015,"CORE",736.027649494464
"Argentina","trn_pass_urban","Passenger Rail",2021,"CORE",672.429522367334
"Argentina","trn_pass_urban","Walk",1975,"CORE",25357
"Argentina","trn_pass_urban","Walk",1990,"CORE",31983
"Argentina","trn_pass_urban","Walk",2005,"CORE",38287
"Argentina","trn_pass_urban","Walk",2010,"CORE",40276
"Argentina","trn_pass_urban","Walk",2015,"CORE",42390
"Argentina","trn_pass_urban","Walk",2021,"CORE",44369
"Argentina","trn_pass_road_urban","Bus",1975,"CORE",26472.9852508964
"Argentina","trn_pass_road_urban","Bus",1990,"CORE",32604.3891501327
"Argentina","trn_pass_road_urban","Bus",2005,"CORE",47230.7888486202
"Argentina","trn_pass_road_urban","Bus",2010,"CORE",55276.8694359039
"Argentina","trn_pass_road_urban","Bus",2015,"CORE",61666.6621985344
"Argentina","trn_pass_road_urban","Bus",2021,"CORE",61382.9353354464
"Argentina","trn_pass_road_LDV_urban","2W and 3W",1975,"CORE",7640.00482574636
